"","Probe_ID","DESIGN","COLOR_CHANNEL","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Feature","Chrom","Pos"
"cg04348677","cg04348677","II","Both",-1.6496191619924,-0.660118379744532,-13.101723774367,7.15343570633154e-08,0.000925211660304582,6.26279772023735,"DLEU1","Body","13",50898028
"cg04501020","cg04501020","II","Both",-1.17305506227461,-1.7263891791317,-7.89214927261733,9.47437071328034e-06,0.012136003270224,3.29514445251043,"LINC01080","Body","13",80586582
"cg04575626","cg04575626","II","Both",-1.70215463563076,1.56758932882139,-10.2772595486896,7.83441241575406e-07,0.00272912074974842,4.95458950735069,"PRDM2","Body","1",14097479
"cg04621627","cg04621627","II","Both",0.913954938186984,1.30899974943273,10.4746431700911,6.51415200361325e-07,0.00243766395034076,5.06567513151238,"ABCB8","ExonBnd","7",150732674
"cg04648490","cg04648490","II","Both",-1.0055747060292,1.23011395569192,-8.00907053343771,8.27845847518721e-06,0.0111209442417458,3.39220610501501,"EXOSC7","Body","3",45026101
"cg04662153","cg04662153","II","Both",-0.699517200483436,-0.16543334944159,-6.30881631172893,6.88342385319652e-05,0.0449623773772405,1.78416675320905,"ASAP2","Body","2",9428664
"cg04723752","cg04723752","II","Both",1.71804270483842,0.11147533018313,9.4869488624969,1.69141904878653e-06,0.00430103270773065,4.47334984141384,"ARHGAP35","Body","19",47450339
"cg04746197","cg04746197","II","Both",0.687785845818576,-2.61877552750698,6.56202548416237,4.90963977183514e-05,0.035504443251949,2.05211467166585,"PHLDA2","TSS1500","11",2951300
"cg04786182","cg04786182","II","Both",-0.785388508371464,-0.39402999982314,-6.27258929530033,7.22937136573753e-05,0.0464056326359389,1.74495557996522,"CSF2RB","Body","22",37319616
"cg04797323","cg04797323","I","Red",-1.02688069183086,-3.00725398224902,-7.12038273794122,2.39866794345477e-05,0.0213008824189547,2.60636568591898,"SOCS2","Body","12",93966978
"cg04813904","cg04813904","II","Both",1.03260571179964,-1.24098308226513,7.11975793025825,2.40053979204841e-05,0.0213008824189547,2.60577267249732,"CD180","Body","5",66488838
"cg04845171","cg04845171","II","Both",0.817012224536136,2.11627233081428,7.60421772728932,1.32929314881073e-05,0.014902571541542,3.04814739359127,"ITGAX","Body","16",31384854
"cg04877786","cg04877786","II","Both",-1.33010277723997,-0.954217228099851,-11.9485951481087,1.78996594216295e-07,0.00128761468409357,5.79559929040822,"ACOXL","Body","2",111791007
"cg04903600","cg04903600","II","Both",0.601178864419042,1.34825151473374,7.16319765633439,2.27407012536679e-05,0.0207444621340521,2.64686064545759,"GPX4","Body","19",1105746
"cg04953035","cg04953035","II","Both",-0.793585355298255,-0.00387749541809895,-7.37227604825475,1.75805905694477e-05,0.0177033448222839,2.84065745710302,"HEXB","5'UTR","5",73989289
"cg04955856","cg04955856","I","Red",0.953585800107982,2.26350326810848,6.32461594278026,6.7381457142113e-05,0.0443486948128084,1.80119864535927,"GRAMD4","TSS200","22",47022567
"cg05036422","cg05036422","II","Both",-1.24145629772126,-0.647768433317581,-8.71966856399373,3.75833537236874e-06,0.00689955879378917,3.94421620385129,"KAT6B","Body","10",76684214
"cg05041430","cg05041430","II","Both",1.3884182979578,0.0209375257725262,7.72170898185496,1.15645256975776e-05,0.0136315375245304,3.15032538934916,"LDLRAD4","5'UTR","18",13279300
"cg05056497","cg05056497","II","Both",-0.742600315628015,0.388730482991305,-6.3909718332187,6.16295579603411e-05,0.0417493728518977,1.87227269515971,"RCAN1","5'UTR","21",35899448
"cg05081225","cg05081225","II","Both",-2.12575826824805,1.25453799359013,-12.3369273081997,1.30331628940077e-07,0.00115221459329424,5.96202108845196,"TCF7L2","Body","10",114803007
"cg05115160","cg05115160","II","Both",-0.79844060631297,1.82481979906772,-6.33051345247807,6.68476390441734e-05,0.0442351733573683,1.80754536682567,"LOC100128714","TSS200","15",26147461
"cg05122957","cg05122957","II","Both",0.903367193333855,1.42472841900556,7.02731246842915,2.69562568443698e-05,0.0232673782945221,2.51737381370084,"BOC","Body","3",112973542
"cg05162819","cg05162819","II","Both",1.155252976771,1.92051908061909,9.12405371679554,2.45110676080939e-06,0.00514817727897432,4.23120940756448,"SLC27A3","Body","1",153750613
"cg05220510","cg05220510","II","Both",0.947857679036995,1.80257356557462,7.52076491856408,1.46891841954921e-05,0.0158336841293754,2.97438482857145,"CLEC10A","5'UTR","17",6982145
"cg05221899","cg05221899","II","Both",2.32950391208682,-1.90597673382591,13.6550640690478,4.72439479812101e-08,0.000763874023979511,6.46021992770816,"DNASE1L3","Body","3",58190729
"cg05231226","cg05231226","II","Both",0.987456593615033,1.40901423259249,9.14098688708341,2.40841722664636e-06,0.00510183231020673,4.24282431069536,"ACSF3","Body","16",89171772
"cg05238969","cg05238969","II","Both",-0.585188067217744,0.297833159084864,-6.24746312937444,7.48023894467987e-05,0.047452851149759,1.7176295299828,"MYO5A","Body","15",52643727
"cg05250640","cg05250640","II","Both",0.789957129415611,0.068579969824794,7.02070235731377,2.71817270421503e-05,0.0234337661317448,2.51100276978326,"SLCO2B1","Body","11",74907144
"cg05255287","cg05255287","II","Both",-1.20529707934744,-0.727961024261682,-9.28722176994987,2.07156613612964e-06,0.00475928157594425,4.3418274256769,"ENC1","3'UTR","5",73928997
"cg05265020","cg05265020","II","Both",0.82841808779444,-1.66314691376356,6.65808157093205,4.32835028370697e-05,0.0324225974547239,2.15100075522742,"NRN1","Body","6",6002865
"cg05303803","cg05303803","II","Both",-1.29954049297207,-0.758129101565447,-7.72396137221327,1.1533859466836e-05,0.0136315375245304,3.15226532682455,"LIMK1","Body","7",73512477
"cg05377979","cg05377979","II","Both",1.91768584448546,0.965372960493531,10.4026498730896,6.96536002226354e-07,0.00251385725687103,5.02555717284716,"C10orf76","Body","10",103755878
"cg05433449","cg05433449","II","Both",1.0934358533098,2.47524011075786,11.4242484419277,2.78765881655088e-07,0.00160068302600085,5.55472830406526,"KIAA0753","Body","17",6504509
"cg05485060","cg05485060","II","Both",0.621166505275736,1.73098971918264,6.51786167856753,5.20456764365217e-05,0.0368291709800708,2.00614412156482,"CTNNAL1","TSS1500","9",111776779
"cg05493358","cg05493358","II","Both",0.657889755450235,-3.13765747871285,6.27505007791628,7.2052916926052e-05,0.0463552332856192,1.74762607497451,"POLA2","Body","11",65059873
"cg05548849","cg05548849","II","Both",0.958967307178236,-0.0646728448194672,9.79728297904748,1.24272107280287e-06,0.00371059192184612,4.66955847111269,"GPR152","1stExon","11",67219882
"cg05564088","cg05564088","II","Both",-1.24225475482363,0.188555567152432,-9.55313675562029,1.58271468164661e-06,0.00416041314331169,4.51601621020485,"APP","TSS200","21",27512723
"cg05586676","cg05586676","II","Both",-1.49851387544447,0.940483879045955,-10.7240095400742,5.18077545526594e-07,0.00213443465393582,5.20118227546446,"VNN1","Body","6",133004949
"cg05618916","cg05618916","II","Both",0.688461793688369,-3.28240176786311,6.66186745674569,4.30701042280466e-05,0.0323192480362441,2.15486749631972,"CD34","1stExon","1",208084633
"cg05663031","cg05663031","II","Both",-1.01283030994462,-2.32865508168251,-7.27451478910726,1.98160301754739e-05,0.0190585729861178,2.75085230925553,"BCL6","5'UTR","3",187453721
"cg05669259","cg05669259","II","Both",-2.03650535480506,-1.69995307213863,-9.16543878275373,2.34818819091119e-06,0.00503065271173955,4.25954084578747,"LINC00862","Body","1",200341447
"cg05677900","cg05677900","II","Both",1.12291387354512,0.242128683622367,6.90330492621573,3.15435974771926e-05,0.0261675058173285,2.39672232268092,"TOX","Body","8",59969254
"cg05683379","cg05683379","II","Both",-1.45577831582094,-1.63905530239396,-7.46217717122887,1.57636184760488e-05,0.0165335850604891,2.92200342633462,"EHF","Body","11",34675716
"cg05718255","cg05718255","II","Both",1.67142957265163,0.635951973948451,12.4682927764714,1.17300286147636e-07,0.00110896422442366,6.01615195476449,"HMOX1","3'UTR","22",35790141
"cg05725907","cg05725907","II","Both",1.18117005425262,-2.10838813282208,10.9372740821824,4.27435661907225e-07,0.0020085177848427,5.3129547543559,"CCDC88C","Body","14",91833636
"cg05727299","cg05727299","II","Both",1.94397972212583,1.13605345001363,8.02314021127179,8.14592706282363e-06,0.0110656194094132,3.40376271088953,"XRCC5","Body","2",217036061
"cg05755899","cg05755899","II","Both",1.34152345485076,1.26408330399197,12.732937161102,9.51503843753454e-08,0.00103599376604305,6.12202687514751,"TBCD","Body","17",80794139
"cg05782457","cg05782457","II","Both",0.924534414022179,-1.46491851788339,6.4975219453009,5.3467471336102e-05,0.0374334328608676,1.98486449717534,"CIITA","Body","16",10983791
"cg05788267","cg05788267","II","Both",-0.927900642611215,-1.39093122623823,-6.72825696216078,3.95060650536448e-05,0.0304546398470709,2.22229923505059,"SEMA3C","Body","7",80459066
"cg05836659","cg05836659","II","Both",0.67055004831891,2.17211103690392,6.34598919839907,6.54682940868306e-05,0.0435240736007423,1.82417213676063,"MIR486-2","TSS200","8",41517827
"cg05859532","cg05859532","II","Both",1.16739921676189,1.60301379879843,6.57942017461849,4.7984502203788e-05,0.0348567972562539,2.07013328460389,"SPIRE2","Body","16",89906499
"cg05975710","cg05975710","II","Both",0.680635223990033,0.0967478199853949,6.3808713852057,6.24699813548107e-05,0.0421189227082252,1.8615015919238,"ARHGEF17","3'UTR","11",73078836
"cg05981651","cg05981651","II","Both",-1.01322970172879,-0.524626904523571,-6.89832101082313,3.17447174272071e-05,0.0262621359898703,2.39182316143168,"ZNF589","Body","3",48285449
"cg06022811","cg06022811","II","Both",1.65170295251676,-0.272243809237372,11.1295826721781,3.60357973303408e-07,0.00184913702011119,5.41061400254034,"LY86","Body","6",6599919
"cg06031622","cg06031622","II","Both",-1.14943404210663,-1.4856134502249,-8.04689248575017,7.92736330463285e-06,0.0108692649039979,3.42321285185263,"MANBAL","5'UTR","20",35923593
"cg06070275","cg06070275","II","Both",1.98882739460718,0.839599412218245,19.1878427708613,1.47652169585915e-09,0.000180756207870419,7.78732278674638,"LPP","TSS1500","3",187930207
"cg06070445","cg06070445","II","Both",-1.10998559620731,-2.44241845305884,-6.53199547442976,5.10816291748563e-05,0.0364301632253814,2.02089095694506,"BCL6","5'UTR","3",187453772
"cg06082906","cg06082906","II","Both",1.4207609872715,1.32847368781048,11.3878565323872,2.87656791246235e-07,0.00160068302600085,5.53728213160163,"ABHD12","Body","20",25277813
"cg06139513","cg06139513","II","Both",1.40842839849596,0.386942798582166,7.43442952882521,1.6301800414555e-05,0.0168309607841562,2.89702193226785,"RAB35","Body","12",120543182
"cg06157072","cg06157072","II","Both",1.38284401946509,2.16925109402613,8.78485000375111,3.50448336771124e-06,0.00663367620516303,3.99174899538566,"PIK3R5","Body","17",8813215
"cg06158471","cg06158471","II","Both",2.50787226066292,0.923982648219675,10.0864396516799,9.39115156482737e-07,0.00309525854010242,4.84386010909486,"ICMT","3'UTR","1",6283054
"cg06174078","cg06174078","II","Both",1.2793729245135,1.59627389234395,7.54479822157565,1.42715304709496e-05,0.0156392248910953,2.99572943121532,"TOLLIP","Body","11",1325718
"cg06181202","cg06181202","II","Both",1.06878780279351,0.685400089598848,8.34015399220383,5.6937746972821e-06,0.00877535919558332,3.65729913305246,"LINC00598","Body","13",41026774
"cg06194044","cg06194044","II","Both",1.28711344569003,1.3695453473864,8.97136101773606,2.87528524036686e-06,0.00574858758946951,4.12503291855567,"CD44","Body","11",35180694
"cg06280592","cg06280592","II","Both",-0.684814090263643,1.99704216034869,-6.62813865686778,4.50118716105793e-05,0.0332465712515678,2.12033658371314,"HBEGF","Body","5",139717988
"cg06316157","cg06316157","II","Both",-1.22847455967929,-2.26552747481328,-8.63334154461216,4.12565135489918e-06,0.00720952170753926,3.88048877801315,"LINC00607","Body","2",216695280
"cg06397711","cg06397711","II","Both",-1.54768125345642,0.804780995031098,-7.90261555595879,9.36006092870233e-06,0.0120301987585755,3.30390799440336,"CCNY","5'UTR","10",35645415
"cg06411730","cg06411730","II","Both",1.7854408361541,0.632484059207062,9.13134627992364,2.43262206497774e-06,0.0051345222108526,4.23621544123932,"ELAC2","Body","17",12905440
"cg06458904","cg06458904","II","Both",-0.739562492408106,0.745177167073158,-6.81465166682472,3.53354082329106e-05,0.028379002251103,2.30899283276407,"EEPD1","Body","7",36312573
"cg06478249","cg06478249","I","Grn",-1.04027088274268,0.593456751021886,-8.93581417732149,2.98505150292175e-06,0.00592133334494623,4.09993846719539,"ST6GAL1","5'UTR","3",186743256
"cg06495615","cg06495615","II","Both",1.46379901734622,0.278262664638539,9.2268244707296,2.20405938117743e-06,0.00490789735901095,4.30121906334089,"ARID3A","Body","19",939731
"cg06506094","cg06506094","II","Both",-0.800496586879746,-0.784932596890217,-7.45787733276659,1.5845746145955e-05,0.0165596163339109,2.91813954997674,"KMT2E","5'UTR","7",104661757
"cg06514003","cg06514003","II","Both",1.24250580033085,-0.853977023620633,8.0862852517428,7.57872643332066e-06,0.0105946639269538,3.45530627349446,"KCNH4","Body","17",40330907
"cg06539865","cg06539865","II","Both",1.88022179896524,0.454082956283511,10.9092526590142,4.38294337032826e-07,0.0020085177848427,5.29847970470274,"FOXN3","Body","14",89774917
"cg06566681","cg06566681","II","Both",1.44038832298934,1.71056347946965,8.70580637304731,3.81484964999755e-06,0.00692606967959365,3.93404274974081,"ZBED5-AS1","Body","11",10888859
"cg06571187","cg06571187","II","Both",-0.904557878407633,-2.75348753216035,-6.91695864875462,3.09996085287693e-05,0.0259169429579128,2.41012391691534,"HSD11B1","TSS200","1",209878123
"cg06587767","cg06587767","II","Both",0.988703383436838,0.211244004175362,8.46540777482662,4.95651164241836e-06,0.00813893911670216,3.75394418391479,"PIP5K1C","Body","19",3691013
"cg06617348","cg06617348","II","Both",0.876692323335499,1.28772724507108,8.02133444442993,8.16280775130933e-06,0.0110656194094132,3.40228095427338,"ITGAL","ExonBnd","16",30500480
"cg06639440","cg06639440","II","Both",2.2568163522945,-0.323886730984819,11.5539612218854,2.49426743720295e-07,0.00149471505326683,5.61612480372475,"CHID1","TSS200","11",915170
"cg06646922","cg06646922","II","Both",-0.796342638971469,-0.551868984428904,-6.86223891543431,3.32425784502242e-05,0.027053144978435,2.35623827756205,"CACNA1D","Body","3",53742188
"cg06689416","cg06689416","II","Both",1.24746056724257,-0.563896373706768,7.792902619335,1.06364335527671e-05,0.0130959865539875,3.21130263925767,"SEPT2","Body","2",242263959
"cg06782377","cg06782377","II","Both",0.861729307903376,1.04403840595883,7.19070843710218,2.19770101878229e-05,0.0202305554166983,2.67273427897148,"TXNDC11","Body","16",11784014
"cg06808725","cg06808725","II","Both",-1.10902850498787,-1.63190805507776,-6.97631506404284,2.87493817476295e-05,0.0244168014802548,2.46804587091462,"SPOCD1","Body","1",32264502
"cg06837088","cg06837088","II","Both",-1.25878307375291,-0.427467124257946,-8.06516357076617,7.76355045643325e-06,0.0107528478408575,3.43812380409953,"GALNTL6","Body","4",173917918
"cg06850691","cg06850691","II","Both",1.20306368954521,-0.695012694148408,7.15279924519605,2.3036762572633e-05,0.0208240183465372,2.63705124203343,"ACP2","Body","11",47266567
"cg06873421","cg06873421","II","Both",0.944192961864937,-0.193141232005007,6.52426291521047,5.16066575551917e-05,0.0365901010618962,2.01282707278512,"PLEKHG5","Body","1",6562721
"cg06895397","cg06895397","II","Both",1.15394843065989,1.49942699664233,11.2777686851248,3.16483549495603e-07,0.00170571098032617,5.4839072802464,"RBPJ","Body","4",26406431
"cg06908452","cg06908452","II","Both",0.910098517758413,1.40952328267591,6.99395699577903,2.81149546195036e-05,0.0240208229726288,2.48515580953338,"PTGES2","Body","9",130887724
"cg06929216","cg06929216","II","Both",-1.65010414856633,1.29096770784218,-18.1276789209841,2.64917413597503e-09,0.000227018858243071,7.60168943974424,"STK24","Body","13",99135607
"cg06947286","cg06947286","II","Both",-0.848236590946404,-2.58374327000494,-7.51315736882831,1.48241222887126e-05,0.0159304173432847,2.96761109978587,"PDLIM4","Body","5",131596602
"cg06949439","cg06949439","II","Both",2.5580175422093,-0.90531764048083,14.7895936367341,2.11199976393224e-08,0.000565581656782382,6.81898700077966,"RASSF5","Body","1",206729034
"cg06986754","cg06986754","II","Both",-0.895876063779378,1.66481130294387,-8.24345499364507,6.34404856758004e-06,0.00950433857971883,3.58133621280991,"CHN2","Body","7",29409889
"cg06997114","cg06997114","II","Both",1.05128796167597,-1.53140141829959,9.81690673346655,1.21905925441717e-06,0.00369659151004233,4.68164239836512,"OSBPL1A","Body","18",21851455
"cg06998507","cg06998507","II","Both",0.720523137750604,-1.8355335672955,7.80369594515568,1.05028962043977e-05,0.0130251416486092,3.22048599600207,"KCNG4","TSS1500","16",84273740
"cg07023544","cg07023544","II","Both",1.16750360899808,-1.02313591794384,6.85586767731309,3.35148764470166e-05,0.0272488664632441,2.34993354605568,"RBM33","Body","7",155545510
"cg07028988","cg07028988","II","Both",0.959871683294662,0.911502008020734,6.41242614007628,5.98844073729345e-05,0.0409230174026932,1.89509509149436,"CDK5RAP2","Body","9",123276723
"cg07031872","cg07031872","II","Both",0.806569472180493,0.62943390330914,6.72817713179583,3.95101551866734e-05,0.0304546398470709,2.22221857703281,"SLC24A4","TSS1500","14",92788417
"cg07037766","cg07037766","II","Both",2.49407383203344,1.08059944371452,17.1051460493381,4.8038982834128e-09,0.000288508764420464,7.39748641072189,"SSH1","TSS200","12",109221439
"cg07044523","cg07044523","II","Both",0.950429553183486,1.34821447640664,7.23520072397279,2.07997869107363e-05,0.0196518313063508,2.71433766709967,"S100A5","TSS200","1",153514376
"cg07048326","cg07048326","II","Both",-0.748861618218333,-1.64434467091417,-6.39035243760853,6.16807449395921e-05,0.0417510433886445,1.87161266260234,"MS4A7","3'UTR","11",60162707
"cg07052440","cg07052440","II","Both",0.903705763697954,0.239222271820191,7.37919231471278,1.74330825371945e-05,0.0176585586472678,2.84695748350541,"FHAD1","Body","1",15659699
"cg07166409","cg07166409","II","Both",-1.05133854806596,-2.06417238255642,-9.45928407208521,1.73923147819839e-06,0.00438358970997142,4.45538220292701,"SEMA4C","5'UTR","2",97534057
"cg07185664","cg07185664","II","Both",0.925850480375215,-2.27549297032548,7.21684932527702,2.12769011354925e-05,0.0198833917261191,2.69721385648878,"INPP5K","Body","17",1412950
"cg07204969","cg07204969","II","Both",0.723948240108256,-0.293176687287492,8.31844836530322,5.83319591053366e-06,0.00893573718931989,3.64035130947689,"ZBTB48","Body","1",6644416
"cg07233700","cg07233700","II","Both",0.774176260602858,-2.87333403185964,6.32521233472725,6.73272669520088e-05,0.0443486948128084,1.80184072984918,"SMPDL3B","1stExon","1",28261706
"cg07240689","cg07240689","II","Both",-0.748378818884678,-0.740003035143967,-7.67839326243481,1.2171721455945e-05,0.0141334137234423,3.11288075954466,"PDCD11","3'UTR","10",105205887
"cg07264319","cg07264319","II","Both",-1.12430051076624,-1.37676238703102,-6.33841833812602,6.6139226247417e-05,0.0438824211775355,1.8160432064003,"UCHL3","5'UTR","13",76133745
"cg07266755","cg07266755","II","Both",-1.02418042210761,-0.861178658588101,-6.80670046678299,3.56987050221148e-05,0.0286031513939886,2.30106378498798,"ZNF182","5'UTR","X",47850841
"cg07309365","cg07309365","II","Both",-1.89531766337283,0.316616221815039,-13.6107596820457,4.88121318113002e-08,0.000771208374622784,6.44499205781097,"MKLN1","Body","7",130933918
"cg07312051","cg07312051","II","Both",0.76183082454661,-1.82223665044566,7.52809461794759,1.45604271956652e-05,0.0157742624550034,2.98090330082645,"FHAD1","Body","1",15656086
"cg07324869","cg07324869","II","Both",1.13215359177477,1.6460951780788,8.16152184361075,6.9580485159572e-06,0.0100308134618926,3.51603627842456,"A2M","TSS200","12",9268730
"cg07338200","cg07338200","II","Both",0.896273213523685,1.72591703305589,8.74205832728337,3.66896084321688e-06,0.00678502384564599,3.96060005732651,"LINC00299","Body","2",8360098
"cg07339155","cg07339155","II","Both",0.597979458696529,1.87598079169637,6.75956309997921,3.79366435752902e-05,0.0297414471494567,2.25385126839537,"PHRF1","Body","11",582126
"cg07369685","cg07369685","II","Both",-2.427810215504,-0.564038778706583,-23.2999390620327,1.98052140826204e-10,0.000123191818251913,8.32184115966732,"LINC00607","Body","2",216695336
"cg07372700","cg07372700","II","Both",0.976858860128689,-0.645346218709574,7.2980237392524,1.92518148685213e-05,0.0187473735648413,2.77257722719991,"MTMR10","Body","15",31281399
"cg07419711","cg07419711","II","Both",-0.948022085534452,0.949901577319973,-7.47042868107242,1.56072963201424e-05,0.0164508582080879,2.92941081363494,"LOC101929470","TSS200","8",29686067
"cg07439373","cg07439373","II","Both",1.2887759104734,-1.94818425242386,7.05186162006098,2.61363525800686e-05,0.0227803573293178,2.54097618017497,"ZCCHC24","Body","10",81159371
"cg07463455","cg07463455","II","Both",0.831497742875113,0.998341298745341,6.72257804289337,3.9798165139301e-05,0.0304778545404851,2.21655888883184,"SEC11A","Body","15",85215271
"cg07465127","cg07465127","II","Both",-0.664008663291973,-1.36884822901947,-7.21557403835416,2.13104925378521e-05,0.0198930894295992,2.69602200045666,"MAN1A1","Body","6",119582630
"cg07468710","cg07468710","II","Both",0.973026696494838,0.989656912470469,6.42178053054591,5.91401681616811e-05,0.0405762161607745,1.90502199542593,"NACC1","5'UTR","19",13231066
"cg07472373","cg07472373","II","Both",-1.07026133091478,0.0262863369469379,-6.36007365389299,6.42394743923698e-05,0.0429068617807842,1.83926924013664,"DRGX","Body","10",50595181
"cg07520810","cg07520810","II","Both",0.809828670543714,-0.337612054704696,7.11871832616412,2.40365780871158e-05,0.0213008824189547,2.60478583849881,"ARID5B","Body","10",63809149
"cg07521475","cg07521475","II","Both",0.771606506553283,0.656865595048567,7.9358126745677,9.0072406419449e-06,0.011748375662389,3.3316063751328,"RALGDS","Body","9",135994613
"cg07573872","cg07573872","I","Red",0.962574177957954,-0.522851137747344,6.26344878008055,7.31957312239769e-05,0.0467395650570322,1.73502713536379,"SBNO2","Body","19",1126342
"cg07614271","cg07614271","II","Both",1.06131842080296,0.274231466925135,7.7653691196381,1.09854605414084e-05,0.0133148266594722,3.18780341904791,"ARRB1","Body","11",75023322
"cg07630601","cg07630601","II","Both",0.826028911197303,-2.58739789294206,6.61421576927475,4.58406617700826e-05,0.0336037539594338,2.10602878355394,"LINC01132","Body","1",234861092
"cg07687131","cg07687131","I","Red",-1.19267385797148,-1.3262209601525,-7.64808011507593,1.26170806464385e-05,0.01439220397942,3.08652000202107,"SOCS2","Body","12",93967580
"cg07744832","cg07744832","II","Both",1.52164811413533,0.590762835730826,9.36716822572937,1.9093004041193e-06,0.00458682657696169,4.39497849094671,"UHRF1BP1L","TSS1500","12",100537267
"cg07747768","cg07747768","II","Both",0.669454828988911,1.8939427964568,6.56332264640788,4.90125334295679e-05,0.0355037180238384,2.05346006833173,"NOCT","Body","4",139955158
"cg07813275","cg07813275","II","Both",1.26875415363594,1.56660537854232,7.00008885108323,2.78979883671116e-05,0.0239069579472893,2.49109146380239,"NPL","TSS1500","1",182760143
"cg07831612","cg07831612","II","Both",0.876897359346219,-0.16860835931681,9.30501904057409,2.03419078644394e-06,0.00471130681328877,4.35371864748065,"SMAD3","5'UTR","15",67437033
"cg07846304","cg07846304","II","Both",0.80482671181898,-1.37237456002349,6.48304733860259,5.45046576218161e-05,0.0380043371129002,1.96967949694849,"EBF1","Body","5",158478030
"cg07875121","cg07875121","II","Both",-0.799191573484611,-0.314735939699523,-6.89378277267831,3.19290532335914e-05,0.0262621359898703,2.38735870893134,"PFDN1","Body","5",139641530
"cg07908697","cg07908697","II","Both",-1.03038649367673,1.64846795776855,-10.3974575402822,6.99919046500958e-07,0.00251385725687103,5.02264617140124,"ADGRV1","Body","5",90174703
"cg07928365","cg07928365","II","Both",-1.04524565431746,-3.59607388694286,-10.1147911893851,9.14000023170077e-07,0.00302411199944174,4.86052399932022,"UBASH3B","Body","11",122649056
"cg07931865","cg07931865","II","Both",1.20206988239538,-0.798779561160075,8.44144896577208,5.08912486026793e-06,0.00824719875611479,3.73560876625212,"DNAJC17","Body","15",41069166
"cg07955474","cg07955474","II","Both",1.35231703938408,-1.7381629516678,8.52227372819102,4.65648878372889e-06,0.00782250679014573,3.79717989396314,"IRF8","5'UTR","16",85935556
"cg07970568","cg07970568","II","Both",-1.2196590488662,0.176688986548129,-6.34755227036846,6.53306856704914e-05,0.0435000842578417,1.82584923041005,"PLEKHM3","Body","2",208840846
"cg07990805","cg07990805","II","Both",-1.3813028489316,-1.64442725655845,-7.53914692070749,1.43685740460647e-05,0.0156588559273028,2.9907178051834,"CCL22","TSS1500","16",57392173
"cg08012294","cg08012294","II","Both",0.749134283661506,1.58290428615435,6.24452176366676,7.51021128173907e-05,0.0475318720546237,1.71442365241382,"CTSB","5'UTR","8",11723816
"cg08134678","cg08134678","I","Red",0.715194432183961,-3.37250994048328,6.75126482198752,3.83460094714844e-05,0.0299534365264256,2.24550308393529,"ARHGAP9","Body","12",57872430
"cg08175413","cg08175413","II","Both",-0.902929979364524,-2.35172452737534,-8.26124965889387,6.2185990219262e-06,0.00938200472367515,3.59540435039018,"LNPEP","Body","5",96294187
"cg08194989","cg08194989","I","Red",1.27932395450818,-2.77301779851287,7.94037482744226,8.95988782015305e-06,0.0117044271164293,3.33540124576722,"ANK1","TSS200","8",41655154
"cg08214029","cg08214029","II","Both",1.06177794707678,-0.0881240124912738,7.32051050696886,1.87283079659564e-05,0.0184049010148654,2.79328078868786,"CCL18","TSS200","17",34391478
"cg08251860","cg08251860","II","Both",1.10195387905629,-1.0686275822652,7.85416626600771,9.90204880079208e-06,0.0124603252620387,3.26321593404944,"CMIP","Body","16",81507391
"cg08253728","cg08253728","II","Both",1.02933809115777,0.894259648539962,6.31687518100566,6.80890695549842e-05,0.04474569282407,1.79285940278373,"TBC1D22A","5'UTR","22",47166029
"cg08280562","cg08280562","II","Both",0.911911583134031,-2.96536636601935,6.6066643558053,4.62970221503875e-05,0.0338514187334449,2.09825542213036,"ITGA11","Body","15",68657657
"cg08319289","cg08319289","II","Both",0.808780190666533,0.773022218262862,7.1884288613287,2.20392283697324e-05,0.0202425942525351,2.67059469910584,"IL1RAP","5'UTR","3",190261614
"cg08355228","cg08355228","II","Both",-1.4531119194987,-0.0737166389140215,-10.3928101451947,7.02962178898245e-07,0.00251385725687103,5.02003866340429,"LOC101927847","Body","9",92745810
"cg08361380","cg08361380","II","Both",1.27049144372879,1.09753953853555,6.46223320228055,5.60341517022162e-05,0.0389720335970827,1.94778317430535,"DPP9","5'UTR","19",4720405
"cg08396863","cg08396863","II","Both",-1.0121292377672,-2.49602158064084,-6.69285017805633,4.13656142769844e-05,0.031303474303644,2.1864249329616,"TUBA4B","TSS1500","2",220117599
"cg08402963","cg08402963","II","Both",-1.19029892310596,1.22402537254595,-10.979522699696,4.11612699151135e-07,0.00199281474370606,5.33466027194021,"STK24","Body","13",99135625
"cg08405087","cg08405087","II","Both",-1.8045995112509,0.469932975842473,-12.4194343429066,1.2197340513429e-07,0.00113345949082028,5.99614359457518,"SARDH","5'UTR","9",136601184
"cg08458872","cg08458872","II","Both",1.49759238458256,1.43733491169529,9.27661321132859,2.09419844838203e-06,0.00478465383324476,4.33472317218173,"ADAM12","Body","10",127797356
"cg08461425","cg08461425","II","Both",1.37478303292447,1.25994317334301,8.01653023741981,8.20790285545774e-06,0.0110766876988373,3.3983366614864,"KDM2B","Body","12",121971790
"cg08480146","cg08480146","II","Both",-0.834298276267794,1.80210790589038,-9.19380148710879,2.28036383596442e-06,0.00497712974788333,4.27884894575718,"GFOD1","Body","6",13474844
"cg08511963","cg08511963","II","Both",-0.96843227641912,0.793541701786067,-11.670191338806,2.25976591958304e-07,0.00144991252663834,5.67011222963342,"LOC101927766","Body","5",159209278
