"","Term","Ont","N","DE","P.DE","FDR.DE"
"GO:1903408","positive regulation of P-type sodium:potassium-exchanging transporter activity","BP",2,0,1,1
"GO:0031443","fast-twitch skeletal muscle fiber contraction","BP",2,0,1,1
"GO:0090076","relaxation of skeletal muscle","BP",2,0,1,1
"GO:1903515","calcium ion transport from cytosol to endoplasmic reticulum","BP",2,0,1,1
"GO:0010751","negative regulation of nitric oxide mediated signal transduction","BP",2,0,1,1
"GO:0019285","glycine betaine biosynthetic process from choline","BP",2,0,1,1
"GO:0031455","glycine betaine metabolic process","BP",2,0,1,1
"GO:0031456","glycine betaine biosynthetic process","BP",2,0,1,1
"GO:0032771","regulation of tyrosinase activity","BP",2,0,1,1
"GO:0032773","positive regulation of tyrosinase activity","BP",2,0,1,1
"GO:0051542","elastin biosynthetic process","BP",2,1,0.0148878192455704,0.632761624667539
"GO:0060003","copper ion export","BP",2,0,1,1
"GO:0015680","protein maturation by copper ion transfer","BP",2,0,1,1
"GO:0099403","maintenance of mitotic sister chromatid cohesion, telomeric","BP",2,0,1,1
"GO:0099404","mitotic sister chromatid cohesion, telomeric","BP",2,0,1,1
"GO:1904907","regulation of maintenance of mitotic sister chromatid cohesion, telomeric","BP",2,0,1,1
"GO:1904908","negative regulation of maintenance of mitotic sister chromatid cohesion, telomeric","BP",2,0,1,1
"GO:1990044","protein localization to lipid droplet","BP",2,0,1,1
"GO:0032603","fractalkine production","BP",2,0,1,1
"GO:0032644","regulation of fractalkine production","BP",2,0,1,1
"GO:0032724","positive regulation of fractalkine production","BP",2,0,1,1
"GO:1904432","regulation of ferrous iron binding","BP",2,0,1,1
"GO:1904434","positive regulation of ferrous iron binding","BP",2,0,1,1
"GO:1904435","regulation of transferrin receptor binding","BP",2,0,1,1
"GO:1904437","positive regulation of transferrin receptor binding","BP",2,0,1,1
"GO:2000978","negative regulation of forebrain neuron differentiation","BP",2,0,1,1
"GO:0000117","regulation of transcription involved in G2/M transition of mitotic cell cycle","BP",2,0,1,1
"GO:1904700","granulosa cell apoptotic process","BP",2,0,1,1
"GO:1904708","regulation of granulosa cell apoptotic process","BP",2,0,1,1
"GO:0002352","B cell negative selection","BP",2,0,1,1
"GO:0002904","positive regulation of B cell apoptotic process","BP",2,0,1,1
"GO:0006808","regulation of nitrogen utilization","BP",2,0,1,1
"GO:0060057","apoptotic process involved in mammary gland involution","BP",2,0,1,1
"GO:0060058","positive regulation of apoptotic process involved in mammary gland involution","BP",2,0,1,1
"GO:0009098","leucine biosynthetic process","BP",2,0,1,1
"GO:0043375","CD8-positive, alpha-beta T cell lineage commitment","BP",2,0,1,1
"GO:0019048","modulation by virus of host process","BP",2,0,1,1
"GO:0019054","modulation by virus of host cellular process","BP",2,0,1,1
"GO:0044003","modulation by symbiont of host process","BP",2,0,1,1
"GO:0044068","modulation by symbiont of host cellular process","BP",2,0,1,1
"GO:0052040","modulation by symbiont of host programmed cell death","BP",2,0,1,1
"GO:1905430","cellular response to glycine","BP",2,0,1,1
"GO:0002268","follicular dendritic cell differentiation","BP",2,0,1,1
"GO:0032764","negative regulation of mast cell cytokine production","BP",2,1,0.0148878192455704,0.632761624667539
"GO:1903463","regulation of mitotic cell cycle DNA replication","BP",2,1,0.0148878192455704,0.632761624667539
"GO:0043314","negative regulation of neutrophil degranulation","BP",2,0,1,1
"GO:0060313","negative regulation of blood vessel remodeling","BP",2,0,1,1
"GO:0033594","response to hydroxyisoflavone","BP",2,0,1,1
"GO:0002856","negative regulation of natural killer cell mediated immune response to tumor cell","BP",2,0,1,1
"GO:0002859","negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target","BP",2,0,1,1
"GO:0038158","granulocyte colony-stimulating factor signaling pathway","BP",2,0,1,1
"GO:1901143","insulin catabolic process","BP",2,0,1,1
"GO:1900736","regulation of phospholipase C-activating G protein-coupled receptor signaling pathway","BP",2,0,1,1
"GO:0033078","extrathymic T cell differentiation","BP",2,0,1,1
"GO:1990654","sebum secreting cell proliferation","BP",2,0,1,1
"GO:0003130","BMP signaling pathway involved in heart induction","BP",2,0,1,1
"GO:0003133","endodermal-mesodermal cell signaling","BP",2,0,1,1
"GO:0003134","endodermal-mesodermal cell signaling involved in heart induction","BP",2,0,1,1
"GO:0003210","cardiac atrium formation","BP",2,0,1,1
"GO:0032345","negative regulation of aldosterone metabolic process","BP",2,0,1,1
"GO:0032348","negative regulation of aldosterone biosynthetic process","BP",2,0,1,1
"GO:0035054","embryonic heart tube anterior/posterior pattern specification","BP",2,0,1,1
"GO:0051040","regulation of calcium-independent cell-cell adhesion","BP",2,0,1,1
"GO:0060128","corticotropin hormone secreting cell differentiation","BP",2,0,1,1
"GO:2000065","negative regulation of cortisol biosynthetic process","BP",2,0,1,1
"GO:0007500","mesodermal cell fate determination","BP",2,0,1,1
"GO:0060687","regulation of branching involved in prostate gland morphogenesis","BP",2,0,1,1
"GO:0061047","positive regulation of branching involved in lung morphogenesis","BP",2,0,1,1
"GO:0072125","negative regulation of glomerular mesangial cell proliferation","BP",2,0,1,1
"GO:0072179","nephric duct formation","BP",2,0,1,1
"GO:0072197","ureter morphogenesis","BP",2,0,1,1
"GO:1901963","regulation of cell proliferation involved in outflow tract morphogenesis","BP",2,0,1,1
"GO:1905310","regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis","BP",2,0,1,1
"GO:1905312","positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis","BP",2,0,1,1
"GO:0003292","cardiac septum cell differentiation","BP",2,0,1,1
"GO:0042661","regulation of mesodermal cell fate specification","BP",2,0,1,1
"GO:0048371","lateral mesodermal cell differentiation","BP",2,1,0.0148878192455704,0.632761624667539
"GO:0060922","atrioventricular node cell differentiation","BP",2,0,1,1
"GO:0060928","atrioventricular node cell development","BP",2,0,1,1
"GO:1905770","regulation of mesodermal cell differentiation","BP",2,0,1,1
"GO:0003252","negative regulation of cell proliferation involved in heart valve morphogenesis","BP",2,0,1,1
"GO:1902731","negative regulation of chondrocyte proliferation","BP",2,0,1,1
"GO:0016320","endoplasmic reticulum membrane fusion","BP",2,0,1,1
"GO:0001555","oocyte growth","BP",2,0,1,1
"GO:0030237","female sex determination","BP",2,0,1,1
"GO:2000620","positive regulation of histone H4-K16 acetylation","BP",2,0,1,1
"GO:1902298","cell cycle DNA replication maintenance of fidelity","BP",2,0,1,1
"GO:1990426","mitotic recombination-dependent replication fork processing","BP",2,0,1,1
"GO:1990505","mitotic DNA replication maintenance of fidelity","BP",2,0,1,1
"GO:0002373","plasmacytoid dendritic cell cytokine production","BP",2,0,1,1
"GO:0002731","negative regulation of dendritic cell cytokine production","BP",2,0,1,1
"GO:1901252","regulation of intracellular transport of viral material","BP",2,0,1,1
"GO:0071387","cellular response to cortisol stimulus","BP",2,0,1,1
"GO:0001810","regulation of type I hypersensitivity","BP",2,0,1,1
"GO:0002343","peripheral B cell selection","BP",2,0,1,1
"GO:0002344","B cell affinity maturation","BP",2,0,1,1
"GO:0016068","type I hypersensitivity","BP",2,0,1,1
"GO:0001798","positive regulation of type IIa hypersensitivity","BP",2,0,1,1
"GO:0001970","positive regulation of activation of membrane attack complex","BP",2,0,1,1
"GO:0002894","positive regulation of type II hypersensitivity","BP",2,0,1,1
"GO:0035846","oviduct epithelium development","BP",2,0,1,1
"GO:0038178","complement component C5a signaling pathway","BP",2,0,1,1
"GO:0090088","regulation of oligopeptide transport","BP",2,0,1,1
"GO:0090089","regulation of dipeptide transport","BP",2,0,1,1
"GO:2000878","positive regulation of oligopeptide transport","BP",2,0,1,1
"GO:2000880","positive regulation of dipeptide transport","BP",2,0,1,1
"GO:2001148","regulation of dipeptide transmembrane transport","BP",2,0,1,1
"GO:2001150","positive regulation of dipeptide transmembrane transport","BP",2,0,1,1
"GO:0098912","membrane depolarization during atrial cardiac muscle cell action potential","BP",2,0,1,1
"GO:1904879","positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel","BP",2,0,1,1
"GO:0072025","distal convoluted tubule development","BP",2,0,1,1
"GO:0072221","metanephric distal convoluted tubule development","BP",2,0,1,1
"GO:1904094","positive regulation of autophagic cell death","BP",2,0,1,1
"GO:1990443","peptidyl-threonine autophosphorylation","BP",2,0,1,1
"GO:0014717","regulation of satellite cell activation involved in skeletal muscle regeneration","BP",2,0,1,1
"GO:0014718","positive regulation of satellite cell activation involved in skeletal muscle regeneration","BP",2,0,1,1
"GO:0006423","cysteinyl-tRNA aminoacylation","BP",2,0,1,1
"GO:0010193","response to ozone","BP",2,0,1,1
"GO:0086098","angiotensin-activated signaling pathway involved in heart process","BP",2,0,1,1
"GO:0019343","cysteine biosynthetic process via cystathionine","BP",2,0,1,1
"GO:0071620","phosphorylation of RNA polymerase II C-terminal domain serine 5 residues","BP",2,0,1,1
"GO:1903654","phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter","BP",2,0,1,1
"GO:1903655","phosphorylation of RNA polymerase II C-terminal domain serine 2 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter","BP",2,0,1,1
"GO:0019085","early viral transcription","BP",2,0,1,1
"GO:0048006","antigen processing and presentation, endogenous lipid antigen via MHC class Ib","BP",2,0,1,1
"GO:0032641","lymphotoxin A production","BP",2,0,1,1
"GO:0032681","regulation of lymphotoxin A production","BP",2,0,1,1
"GO:0032761","positive regulation of lymphotoxin A production","BP",2,0,1,1
"GO:0044467","glial cell-derived neurotrophic factor production","BP",2,0,1,1
"GO:0072011","glomerular endothelium development","BP",2,0,1,1
"GO:1900166","regulation of glial cell-derived neurotrophic factor production","BP",2,0,1,1
"GO:1900168","positive regulation of glial cell-derived neurotrophic factor production","BP",2,0,1,1
"GO:0055095","lipoprotein particle mediated signaling","BP",2,0,1,1
"GO:0055096","low-density lipoprotein particle mediated signaling","BP",2,0,1,1
"GO:0070543","response to linoleic acid","BP",2,0,1,1
"GO:0072564","blood microparticle formation","BP",2,0,1,1
"GO:2000332","regulation of blood microparticle formation","BP",2,0,1,1
"GO:2000334","positive regulation of blood microparticle formation","BP",2,0,1,1
"GO:1905123","regulation of glucosylceramidase activity","BP",2,0,1,1
"GO:1900623","regulation of monocyte aggregation","BP",2,0,1,1
"GO:1900625","positive regulation of monocyte aggregation","BP",2,0,1,1
"GO:1905450","negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis","BP",2,0,1,1
"GO:0001971","negative regulation of activation of membrane attack complex","BP",2,0,1,1
"GO:0035691","macrophage migration inhibitory factor signaling pathway","BP",2,0,1,1
"GO:2000446","regulation of macrophage migration inhibitory factor signaling pathway","BP",2,0,1,1
"GO:2000448","positive regulation of macrophage migration inhibitory factor signaling pathway","BP",2,0,1,1
"GO:0019858","cytosine metabolic process","BP",2,0,1,1
"GO:0090497","mesenchymal cell migration","BP",2,0,1,1
"GO:0097118","neuroligin clustering involved in postsynaptic membrane assembly","BP",2,0,1,1
"GO:1902897","regulation of postsynaptic density protein 95 clustering","BP",2,0,1,1
"GO:2000809","positive regulation of synaptic vesicle clustering","BP",2,0,1,1
"GO:0032912","negative regulation of transforming growth factor beta2 production","BP",2,0,1,1
"GO:0048817","negative regulation of hair follicle maturation","BP",2,0,1,1
"GO:0032298","positive regulation of DNA-templated DNA replication initiation","BP",2,0,1,1
"GO:0031914","negative regulation of synaptic plasticity","BP",2,0,1,1
"GO:0034352","positive regulation of glial cell apoptotic process","BP",2,0,1,1
"GO:1905178","regulation of cardiac muscle tissue regeneration","BP",2,0,1,1
"GO:1905179","negative regulation of cardiac muscle tissue regeneration","BP",2,0,1,1
"GO:0042412","taurine biosynthetic process","BP",2,0,1,1
"GO:0046305","alkanesulfonate biosynthetic process","BP",2,0,1,1
"GO:1901329","regulation of odontoblast differentiation","BP",2,0,1,1
"GO:0099607","lateral attachment of mitotic spindle microtubules to kinetochore","BP",2,0,1,1
"GO:1900154","regulation of bone trabecula formation","BP",2,0,1,1
"GO:1900155","negative regulation of bone trabecula formation","BP",2,0,1,1
"GO:0010767","regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage","BP",2,0,1,1
"GO:0035407","histone H3-T11 phosphorylation","BP",2,0,1,1
"GO:0033364","mast cell secretory granule organization","BP",2,0,1,1
"GO:1905918","regulation of CoA-transferase activity","BP",2,0,1,1
"GO:1905920","positive regulation of CoA-transferase activity","BP",2,0,1,1
"GO:0006599","phosphagen metabolic process","BP",2,0,1,1
"GO:0006603","phosphocreatine metabolic process","BP",2,0,1,1
"GO:0042396","phosphagen biosynthetic process","BP",2,0,1,1
"GO:0046314","phosphocreatine biosynthetic process","BP",2,0,1,1
"GO:1902996","regulation of neurofibrillary tangle assembly","BP",2,0,1,1
"GO:1904576","response to tunicamycin","BP",2,0,1,1
"GO:1904577","cellular response to tunicamycin","BP",2,0,1,1
"GO:0016243","regulation of autophagosome size","BP",2,0,1,1
"GO:0036359","renal potassium excretion","BP",2,0,1,1
"GO:0051454","intracellular pH elevation","BP",2,0,1,1
"GO:1905162","regulation of phagosome maturation","BP",2,0,1,1
"GO:2001288","positive regulation of caveolin-mediated endocytosis","BP",2,0,1,1
"GO:1904426","positive regulation of GTP binding","BP",2,0,1,1
"GO:0034769","basement membrane disassembly","BP",2,0,1,1
"GO:0060474","positive regulation of flagellated sperm motility involved in capacitation","BP",2,0,1,1
"GO:1904155","DN2 thymocyte differentiation","BP",2,0,1,1
"GO:1990962","xenobiotic transport across blood-brain barrier","BP",2,0,1,1
"GO:0021605","cranial nerve maturation","BP",2,0,1,1
"GO:0021630","olfactory nerve maturation","BP",2,0,1,1
"GO:2000777","positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia","BP",2,0,1,1
"GO:0099552","trans-synaptic signaling by lipid, modulating synaptic transmission","BP",2,0,1,1
"GO:0099553","trans-synaptic signaling by endocannabinoid, modulating synaptic transmission","BP",2,0,1,1
"GO:1902618","cellular response to fluoride","BP",2,0,1,1
"GO:1903225","negative regulation of endodermal cell differentiation","BP",2,0,1,1
"GO:0016036","cellular response to phosphate starvation","BP",2,0,1,1
"GO:0006784","heme A biosynthetic process","BP",2,0,1,1
"GO:0046160","heme a metabolic process","BP",2,0,1,1
"GO:0014045","establishment of endothelial blood-brain barrier","BP",2,0,1,1
"GO:0045957","negative regulation of complement activation, alternative pathway","BP",2,0,1,1
"GO:1900005","positive regulation of serine-type endopeptidase activity","BP",2,0,1,1
"GO:1900098","regulation of plasma cell differentiation","BP",2,0,1,1
"GO:1902573","positive regulation of serine-type peptidase activity","BP",2,0,1,1
"GO:0016103","diterpenoid catabolic process","BP",2,0,1,1
"GO:0034653","retinoic acid catabolic process","BP",2,0,1,1
"GO:0055025","positive regulation of cardiac muscle tissue development","BP",2,0,1,1
"GO:0003419","growth plate cartilage chondrocyte proliferation","BP",2,0,1,1
"GO:1903892","negative regulation of ATF6-mediated unfolded protein response","BP",2,0,1,1
"GO:0035685","helper T cell diapedesis","BP",2,0,1,1
"GO:1990859","cellular response to endothelin","BP",2,0,1,1
"GO:0009785","blue light signaling pathway","BP",2,0,1,1
"GO:0071483","cellular response to blue light","BP",2,0,1,1
"GO:0042488","positive regulation of odontogenesis of dentin-containing tooth","BP",2,0,1,1
"GO:0060763","mammary duct terminal end bud growth","BP",2,0,1,1
"GO:1904340","positive regulation of dopaminergic neuron differentiation","BP",2,0,1,1
"GO:1904958","positive regulation of midbrain dopaminergic neuron differentiation","BP",2,0,1,1
"GO:1905424","regulation of Wnt-mediated midbrain dopaminergic neuron differentiation","BP",2,0,1,1
"GO:1905426","positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation","BP",2,0,1,1
"GO:0019418","sulfide oxidation","BP",2,0,1,1
"GO:0070221","sulfide oxidation, using sulfide:quinone oxidoreductase","BP",2,0,1,1
"GO:0060309","elastin catabolic process","BP",2,0,1,1
"GO:0035887","aortic smooth muscle cell differentiation","BP",2,0,1,1
"GO:1904829","regulation of aortic smooth muscle cell differentiation","BP",2,0,1,1
"GO:1904831","positive regulation of aortic smooth muscle cell differentiation","BP",2,0,1,1
"GO:0003340","negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis","BP",2,0,1,1
"GO:0036023","embryonic skeletal limb joint morphogenesis","BP",2,0,1,1
"GO:0036520","astrocyte-dopaminergic neuron signaling","BP",2,0,1,1
"GO:0044334","canonical Wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition","BP",2,0,1,1
"GO:0044336","canonical Wnt signaling pathway involved in negative regulation of apoptotic process","BP",2,0,1,1
"GO:0045976","negative regulation of mitotic cell cycle, embryonic","BP",2,0,1,1
"GO:0060423","foregut regionalization","BP",2,0,1,1
"GO:0060424","lung field specification","BP",2,0,1,1
"GO:0060492","lung induction","BP",2,0,1,1
"GO:0061316","canonical Wnt signaling pathway involved in heart development","BP",2,0,1,1
"GO:0072053","renal inner medulla development","BP",2,0,1,1
"GO:0072054","renal outer medulla development","BP",2,0,1,1
"GO:1904954","canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation","BP",2,0,1,1
"GO:0044210","'de novo' CTP biosynthetic process","BP",2,0,1,1
"GO:0070946","neutrophil-mediated killing of gram-positive bacterium","BP",2,0,1,1
"GO:0010813","neuropeptide catabolic process","BP",2,0,1,1
"GO:0060448","dichotomous subdivision of terminal units involved in lung branching","BP",2,0,1,1
"GO:0110091","negative regulation of hippocampal neuron apoptotic process","BP",2,0,1,1
"GO:0009822","alkaloid catabolic process","BP",2,0,1,1
"GO:0090345","cellular organohalogen metabolic process","BP",2,0,1,1
"GO:0090346","cellular organofluorine metabolic process","BP",2,0,1,1
"GO:0045797","positive regulation of intestinal cholesterol absorption","BP",2,0,1,1
"GO:2000866","positive regulation of estradiol secretion","BP",2,1,0.0148878192455704,0.632761624667539
"GO:0032346","positive regulation of aldosterone metabolic process","BP",2,0,1,1
"GO:0032349","positive regulation of aldosterone biosynthetic process","BP",2,0,1,1
"GO:0035026","leading edge cell differentiation","BP",2,0,1,1
"GO:0016340","calcium-dependent cell-matrix adhesion","BP",2,0,1,1
"GO:0098942","retrograde trans-synaptic signaling by trans-synaptic protein complex","BP",2,0,1,1
"GO:0006422","aspartyl-tRNA aminoacylation","BP",2,0,1,1
"GO:0072737","response to diamide","BP",2,0,1,1
"GO:0072738","cellular response to diamide","BP",2,0,1,1
"GO:0006226","dUMP biosynthetic process","BP",2,0,1,1
"GO:0060177","regulation of angiotensin metabolic process","BP",2,0,1,1
"GO:1903597","negative regulation of gap junction assembly","BP",2,0,1,1
"GO:1904398","positive regulation of neuromuscular junction development","BP",2,0,1,1
"GO:0071798","response to prostaglandin D","BP",2,0,1,1
"GO:0071799","cellular response to prostaglandin D stimulus","BP",2,0,1,1
"GO:0019072","viral genome packaging","BP",2,0,1,1
"GO:0019074","viral RNA genome packaging","BP",2,0,1,1
"GO:1905696","regulation of polysome binding","BP",2,0,1,1
"GO:0097065","anterior head development","BP",2,0,1,1
"GO:1904975","response to bleomycin","BP",2,0,1,1
"GO:1904976","cellular response to bleomycin","BP",2,0,1,1
"GO:0008612","peptidyl-lysine modification to peptidyl-hypusine","BP",2,0,1,1
"GO:0046203","spermidine catabolic process","BP",2,0,1,1
"GO:1905395","response to flavonoid","BP",2,0,1,1
"GO:0000495","box H/ACA RNA 3'-end processing","BP",2,0,1,1
"GO:0034964","box H/ACA RNA processing","BP",2,0,1,1
"GO:0099642","retrograde axonal protein transport","BP",2,0,1,1
"GO:1901626","regulation of postsynaptic membrane organization","BP",2,0,1,1
"GO:1901628","positive regulation of postsynaptic membrane organization","BP",2,0,1,1
"GO:1904719","positive regulation of AMPA glutamate receptor clustering","BP",2,0,1,1
"GO:0021893","cerebral cortex GABAergic interneuron fate commitment","BP",2,0,1,1
"GO:1902871","positive regulation of amacrine cell differentiation","BP",2,0,1,1
"GO:1901052","sarcosine metabolic process","BP",2,0,1,1
"GO:0014852","regulation of skeletal muscle contraction by neural stimulation via neuromuscular junction","BP",2,0,1,1
"GO:0060631","regulation of meiosis I","BP",2,0,1,1
"GO:0060903","positive regulation of meiosis I","BP",2,0,1,1
"GO:0033567","DNA replication, Okazaki fragment processing","BP",2,0,1,1
"GO:0070948","regulation of neutrophil mediated cytotoxicity","BP",2,0,1,1
"GO:1902856","negative regulation of non-motile cilium assembly","BP",2,0,1,1
"GO:1903526","negative regulation of membrane tubulation","BP",2,0,1,1
"GO:0090677","reversible differentiation","BP",2,0,1,1
"GO:0090679","cell differentiation involved in phenotypic switching","BP",2,0,1,1
"GO:1905420","vascular associated smooth muscle cell differentiation involved in phenotypic switching","BP",2,0,1,1
"GO:1905460","negative regulation of vascular associated smooth muscle cell apoptotic process","BP",2,0,1,1
"GO:1905915","regulation of cell differentiation involved in phenotypic switching","BP",2,0,1,1
"GO:1905930","regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching","BP",2,0,1,1
"GO:0036415","regulation of tRNA stability","BP",2,0,1,1
"GO:0036416","tRNA stabilization","BP",2,0,1,1
"GO:1902370","regulation of tRNA catabolic process","BP",2,0,1,1
"GO:1902371","negative regulation of tRNA catabolic process","BP",2,0,1,1
"GO:1903326","regulation of tRNA metabolic process","BP",2,0,1,1
"GO:1903327","negative regulation of tRNA metabolic process","BP",2,0,1,1
"GO:0001766","membrane raft polarization","BP",2,0,1,1
"GO:0043605","cellular amide catabolic process","BP",2,0,1,1
"GO:0006208","pyrimidine nucleobase catabolic process","BP",2,0,1,1
"GO:0006210","thymine catabolic process","BP",2,0,1,1
"GO:0019483","beta-alanine biosynthetic process","BP",2,0,1,1
"GO:0019859","thymine metabolic process","BP",2,0,1,1
"GO:0019860","uracil metabolic process","BP",2,0,1,1
"GO:0051586","positive regulation of dopamine uptake involved in synaptic transmission","BP",2,0,1,1
"GO:0051944","positive regulation of catecholamine uptake involved in synaptic transmission","BP",2,0,1,1
"GO:0003165","Purkinje myocyte development","BP",2,0,1,1
"GO:0006227","dUDP biosynthetic process","BP",2,0,1,1
"GO:0006233","dTDP biosynthetic process","BP",2,0,1,1
"GO:0009196","pyrimidine deoxyribonucleoside diphosphate metabolic process","BP",2,0,1,1
"GO:0009197","pyrimidine deoxyribonucleoside diphosphate biosynthetic process","BP",2,0,1,1
"GO:0046072","dTDP metabolic process","BP",2,0,1,1
"GO:0046077","dUDP metabolic process","BP",2,0,1,1
"GO:0046105","thymidine biosynthetic process","BP",2,0,1,1
"GO:0046120","deoxyribonucleoside biosynthetic process","BP",2,0,1,1
"GO:0046126","pyrimidine deoxyribonucleoside biosynthetic process","BP",2,0,1,1
"GO:0009213","pyrimidine deoxyribonucleoside triphosphate catabolic process","BP",2,0,1,1
"GO:0014022","neural plate elongation","BP",2,0,1,1
"GO:0022007","convergent extension involved in neural plate elongation","BP",2,0,1,1
"GO:0035700","astrocyte chemotaxis","BP",2,0,1,1
"GO:2000458","regulation of astrocyte chemotaxis","BP",2,0,1,1
"GO:0097492","sympathetic neuron axon guidance","BP",2,0,1,1
"GO:1905333","regulation of gastric motility","BP",2,0,1,1
"GO:0061152","trachea submucosa development","BP",2,0,1,1
"GO:0061153","trachea gland development","BP",2,0,1,1
"GO:1901551","negative regulation of endothelial cell development","BP",2,0,1,1
"GO:1903141","negative regulation of establishment of endothelial barrier","BP",2,0,1,1
"GO:0007497","posterior midgut development","BP",2,0,1,1
"GO:1903847","regulation of aorta morphogenesis","BP",2,0,1,1
"GO:1903849","positive regulation of aorta morphogenesis","BP",2,0,1,1
"GO:1900127","positive regulation of hyaluronan biosynthetic process","BP",2,0,1,1
"GO:0010750","positive regulation of nitric oxide mediated signal transduction","BP",2,0,1,1
"GO:1900019","regulation of protein kinase C activity","BP",2,0,1,1
"GO:1900020","positive regulation of protein kinase C activity","BP",2,0,1,1
"GO:0072301","regulation of metanephric glomerular mesangial cell proliferation","BP",2,0,1,1
"GO:0014040","positive regulation of Schwann cell differentiation","BP",2,0,1,1
"GO:0021571","rhombomere 5 development","BP",2,0,1,1
"GO:0035283","central nervous system segmentation","BP",2,0,1,1
"GO:0035284","brain segmentation","BP",2,0,1,1
"GO:2000676","positive regulation of type B pancreatic cell apoptotic process","BP",2,0,1,1
"GO:0014028","notochord formation","BP",2,0,1,1
"GO:0048320","axial mesoderm formation","BP",2,0,1,1
"GO:0002775","antimicrobial peptide production","BP",2,0,1,1
"GO:0002777","antimicrobial peptide biosynthetic process","BP",2,0,1,1
"GO:0002778","antibacterial peptide production","BP",2,0,1,1
"GO:0002780","antibacterial peptide biosynthetic process","BP",2,0,1,1
"GO:0071963","establishment or maintenance of cell polarity regulating cell shape","BP",2,0,1,1
"GO:0001966","thigmotaxis","BP",2,0,1,1
"GO:0140066","peptidyl-lysine crotonylation","BP",2,0,1,1
"GO:0035585","calcium-mediated signaling using extracellular calcium source","BP",2,0,1,1
"GO:0070560","protein secretion by platelet","BP",2,1,0.0148878192455704,0.632761624667539
"GO:0021631","optic nerve morphogenesis","BP",2,0,1,1
"GO:0099557","trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission","BP",2,0,1,1
"GO:0110077","vesicle-mediated intercellular transport","BP",2,0,1,1
"GO:1904782","negative regulation of NMDA glutamate receptor activity","BP",2,0,1,1
"GO:0001306","age-dependent response to oxidative stress","BP",2,0,1,1
"GO:0007571","age-dependent general metabolic decline","BP",2,0,1,1
"GO:0006424","glutamyl-tRNA aminoacylation","BP",2,0,1,1
"GO:0006433","prolyl-tRNA aminoacylation","BP",2,0,1,1
"GO:0000710","meiotic mismatch repair","BP",2,0,1,1
"GO:0000717","nucleotide-excision repair, DNA duplex unwinding","BP",2,0,1,1
"GO:0001550","ovarian cumulus expansion","BP",2,0,1,1
"GO:0048160","primary follicle stage","BP",2,0,1,1
"GO:0048165","fused antrum stage","BP",2,0,1,1
"GO:1901255","nucleotide-excision repair involved in interstrand cross-link repair","BP",2,0,1,1
"GO:1904743","negative regulation of telomeric DNA binding","BP",2,0,1,1
"GO:0001705","ectoderm formation","BP",2,0,1,1
"GO:0001712","ectodermal cell fate commitment","BP",2,0,1,1
"GO:0090009","primitive streak formation","BP",2,0,1,1
"GO:2000382","positive regulation of mesoderm development","BP",2,0,1,1
"GO:1901706","mesenchymal cell differentiation involved in bone development","BP",2,0,1,1
"GO:0072513","positive regulation of secondary heart field cardioblast proliferation","BP",2,0,1,1
"GO:0014834","skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration","BP",2,0,1,1
"GO:0007529","establishment of synaptic specificity at neuromuscular junction","BP",2,0,1,1
"GO:0002543","activation of blood coagulation via clotting cascade","BP",2,0,1,1
"GO:0002542","Factor XII activation","BP",2,0,1,1
"GO:0051919","positive regulation of fibrinolysis","BP",2,0,1,1
"GO:0099178","regulation of retrograde trans-synaptic signaling by endocanabinoid","BP",2,0,1,1
"GO:0010747","positive regulation of long-chain fatty acid import across plasma membrane","BP",2,1,0.0148878192455704,0.632761624667539
"GO:0005985","sucrose metabolic process","BP",2,1,0.0148878192455704,0.632761624667539
"GO:0046351","disaccharide biosynthetic process","BP",2,1,0.0148878192455704,0.632761624667539
"GO:0001813","regulation of antibody-dependent cellular cytotoxicity","BP",2,0,1,1
"GO:0002436","immune complex clearance by monocytes and macrophages","BP",2,0,1,1
"GO:0002884","negative regulation of hypersensitivity","BP",2,0,1,1
"GO:0090264","regulation of immune complex clearance by monocytes and macrophages","BP",2,0,1,1
"GO:0033384","geranyl diphosphate biosynthetic process","BP",2,0,1,1
"GO:0035766","cell chemotaxis to fibroblast growth factor","BP",2,0,1,1
"GO:0035768","endothelial cell chemotaxis to fibroblast growth factor","BP",2,0,1,1
"GO:1904847","regulation of cell chemotaxis to fibroblast growth factor","BP",2,0,1,1
"GO:1904849","positive regulation of cell chemotaxis to fibroblast growth factor","BP",2,0,1,1
